district,region,village,direction,elevator,floor,layout,decoration,year,size,price,perprice
锦江,莲花,莲桂苑 ,东,无,低楼层,3室1厅,精装,2015,113.0,178.0,15700
锦江,盐市口,和贵苑 ,东,无,高楼层,2室1厅,其他,2015,59.0,190.0,32128
锦江,三圣乡,合能锦城 ,东南,有,中楼层,3室1厅,其他,2015,82.0,160.0,19477
锦江,卓锦城,海棠佳苑 ,东南,有,中楼层,3室2厅,其他,2008,88.0,150.0,16946
锦江,盐市口,时代广场(锦江) ,东,有,中楼层,1室0厅,其他,2008,390.0,1015.1,26000
锦江,三官堂,瑞升望江橡树林二期 ,南,有,低楼层,3室1厅,精装,2005,86.0,230.0,26621
锦江,琉璃场,天悦龙庭 ,南,有,高楼层,2室1厅,其他,2014,85.0,280.0,32784
锦江,卓锦城,卓锦城五期 ,东南,有,中楼层,3室2厅,其他,2005,87.0,200.0,22892
锦江,盐市口,三倒拐街12号 ,东南,无,中楼层,2室1厅,其他,2005,87.0,131.0,15006
锦江,合江亭,均隆街70号 ,南北,无,低楼层,2室1厅,其他,2014,74.0,150.0,20194
锦江,合江亭,时代豪庭一期 ,东北,有,高楼层,3室1厅,其他,2008,154.0,480.0,31010
锦江,沙河堡,沙河壹号二期 ,西,有,高楼层,3室1厅,毛坯,2014,81.0,165.0,20132
锦江,合江亭,蓝光郁金香花园广场 ,西北北,有,高楼层,1室0厅,简装,2014,42.0,80.0,18913
锦江,东客站,中房优山PLUS ,东北,有,高楼层,4室2厅,毛坯,1999,120.0,265.0,22084
锦江,三官堂,东辰苑 ,东南,无,高楼层,2室2厅,其他,2014,90.0,180.0,19941
锦江,蓝谷地,紫东梵谷 ,东南,有,高楼层,3室1厅,其他,2014,114.0,160.0,13987
锦江,卓锦城,融创四海逸家 ,南,有,高楼层,4室1厅,精装,2014,88.0,608.0,68810
锦江,合江亭,时代豪庭二期 ,西北,有,中楼层,3室1厅,其他,2014,175.0,580.0,33143
锦江,东光小区,致瑞雅苑B区 ,东北,有,低楼层,2室1厅,其他,2014,89.0,155.0,17352
锦江,蓝谷地,蓝谷地综合楼 ,东北,有,高楼层,1室0厅,其他,2014,31.0,26.8,8646
锦江,水碾河,蜀都花园 ,东南,有,高楼层,2室1厅,简装,2014,91.0,153.0,16678
锦江,水碾河,尖东旺座二期 ,东南,有,高楼层,1室1厅,其他,2014,40.0,48.0,11876
锦江,合江亭,金府花园 ,东南,有,中楼层,2室1厅,简装,2014,88.0,160.0,18153
锦江,莲花,工农院街12号 ,东南,无,低楼层,2室1厅,简装,2014,67.0,110.0,16179
锦江,九眼桥,东四街147号 ,东,无,高楼层,2室1厅,简装,1999,60.0,73.0,12055
锦江,莲花,朝阳逸景 ,南,有,低楼层,2室2厅,简装,1999,73.0,188.0,25691
锦江,三圣乡,锦江城市花园一期 ,西北,有,高楼层,2室2厅,精装,1999,80.0,124.0,15475
锦江,九眼桥,东城攻略 ,东南,有,低楼层,1室1厅,简装,1999,51.0,76.0,14704
锦江,三官堂,瑞升望江橡树林三期 ,南,有,高楼层,3室1厅,毛坯,1999,78.0,208.0,26640
锦江,卓锦城,锦江逸家 ,东南,有,中楼层,3室1厅,精装,1999,74.0,210.0,28379
锦江,东大路,乐天圣苑 ,南,有,中楼层,3室2厅,精装,1999,87.0,275.0,31365
锦江,沙河堡,锦东庭园 ,东,有,中楼层,4室2厅,简装,2014,149.0,400.0,26676
锦江,三官堂,望江橡树林一期 ,南北,有,低楼层,3室2厅,精装,2014,124.0,380.0,30584
锦江,红星路,三洲娇子苑 ,东,有,低楼层,4室1厅,简装,2014,154.0,338.0,21903
锦江,攀成钢,镏金岁月 ,西北,有,高楼层,2室2厅,其他,2014,75.0,180.0,23707
锦江,盐市口,财富中心 ,西南,有,中楼层,1室1厅,其他,2014,48.0,155.0,32058
